Date,Open,High,Low,Close,Adj Close,Volume
2023-09-13,22.200001,22.500000,21.700001,22.150000,22.150000,236321372
2023-09-14,22.350000,23.250000,21.750000,23.250000,23.250000,178268509
2023-09-15,23.600000,24.400000,23.150000,24.200001,24.200001,225766744
2023-09-18,24.700001,25.100000,24.500000,24.750000,24.750000,142270040
2023-09-20,24.950001,25.950001,24.500000,25.850000,25.850000,166418138
2023-09-21,25.850000,26.250000,25.150000,25.500000,25.500000,166438893
2023-09-22,25.650000,25.850000,24.500000,25.049999,25.049999,95275738
2023-09-25,25.750000,26.049999,25.100000,25.500000,25.500000,71458712
2023-09-26,25.600000,26.100000,24.950001,26.000000,26.000000,110565689
2023-09-27,25.100000,25.900000,25.049999,25.650000,25.650000,94771055
2023-09-28,25.700001,26.400000,25.450001,25.650000,25.650000,75375280
2023-09-29,25.850000,26.200001,25.549999,25.799999,25.799999,76660245
2023-10-03,25.950001,27.049999,25.750000,26.950001,26.950001,215807142
2023-10-04,27.350000,28.250000,27.100000,28.100000,28.100000,346015638
2023-10-05,28.600000,29.500000,28.549999,29.500000,29.500000,285672016
2023-10-06,28.850000,29.799999,28.400000,29.100000,29.100000,273969163
2023-10-09,28.200001,28.350000,27.650000,27.650000,27.650000,151080200
2023-10-10,26.500000,27.400000,26.299999,26.350000,26.350000,80186599
2023-10-11,26.500000,27.650000,26.450001,27.650000,27.650000,45365872
2023-10-12,28.250000,28.600000,27.049999,27.150000,27.150000,70399620
2023-10-13,27.200001,27.450001,26.600000,26.799999,26.799999,39585232
2023-10-16,27.600000,28.100000,27.049999,28.100000,28.100000,73809145
2023-10-17,28.900000,29.500000,28.650000,29.500000,29.500000,111721555
2023-10-18,30.250000,30.950001,29.799999,30.950001,30.950001,131127521
2023-10-19,31.000000,32.099998,30.000000,31.600000,31.600000,135200931
2023-10-20,31.450001,33.150002,31.000000,32.500000,32.500000,373269936
2023-10-23,33.250000,34.099998,31.400000,31.799999,31.799999,130338329
2023-10-25,32.099998,33.099998,30.299999,31.900000,31.900000,98053560
2023-10-26,31.250000,31.950001,30.299999,31.400000,31.400000,99436973
2023-10-27,32.000000,32.900002,31.950001,32.099998,32.099998,80529369
2023-10-30,32.700001,32.799999,31.250000,31.549999,31.549999,42405596
2023-10-31,32.000000,32.000000,30.000000,30.600000,30.600000,49276497
2023-11-01,30.700001,31.600000,30.600000,31.299999,31.299999,39955174
2023-11-02,31.900000,32.849998,31.350000,32.650002,32.650002,52429624
2023-11-03,33.200001,34.250000,33.000000,34.250000,34.250000,76623253
2023-11-06,35.950001,35.950001,35.950001,35.950001,35.950001,15536896
2023-11-07,37.000000,37.400002,35.000000,37.349998,37.349998,145813507
2023-11-08,37.799999,39.200001,36.799999,37.400002,37.400002,113882054
2023-11-09,38.000000,38.450001,37.000000,37.299999,37.299999,49396345
